cbsa_category,cbsa_code,cbsa_name,CBSA Regional Components (with component FIPS codes)
Metropolitan Area,10180,"Abilene, TX","Callahan County, TX (48059); Jones County, TX (48253); Taylor County, TX (48441)"
Metropolitan Area,10380,"Aguadilla-Isabela-San Sebasti�n, PR","Aguada Municipio, PR (72003); Aguadilla Municipio, PR (72005); A�asco Municipio, PR (72011); Isabela Municipio, PR (72071); Lares Municipio, PR (72081); Moca Municipio, PR (72099); Rinc�n Municipio, PR (72117); San Sebasti�n Municipio, PR (72131)"
Metropolitan Area,10420,"Akron, OH","Portage County, OH (39133); Summit County, OH (39153)"
Metropolitan Area,10500,"Albany, GA","Baker County, GA (13007); Dougherty County, GA (13095); Lee County, GA (13177); Terrell County, GA (13273); Worth County, GA (13321)"
Metropolitan Area,10580,"Albany-Schenectady-Troy, NY","Albany County, NY (36001); Rensselaer County, NY (36083); Saratoga County, NY (36091); Schenectady County, NY (36093); Schoharie County, NY (36095)"
Metropolitan Area,10740,"Albuquerque, NM","Bernalillo County, NM (35001); Sandoval County, NM (35043); Torrance County, NM (35057); Valencia County, NM (35061)"
Metropolitan Area,10780,"Alexandria, LA","Grant Parish, LA (22043); Rapides Parish, LA (22079)"
Metropolitan Area,10900,"Allentown-Bethlehem-Easton, PA-NJ","Warren County, NJ (34041); Carbon County, PA (42025); Lehigh County, PA (42077); Northampton County, PA (42095)"
Metropolitan Area,11020,"Altoona, PA","Blair County, PA (42013)"
Metropolitan Area,11100,"Amarillo, TX","Armstrong County, TX (48011); Carson County, TX (48065); Potter County, TX (48375); Randall County, TX (48381)"
Metropolitan Area,11180,"Ames, IA","Story County, IA (19169)"
Metropolitan Area,11260,"Anchorage, AK","Anchorage Municipality, AK (02020); Matanuska-Susitna Borough, AK (02170)"
Metropolitan Area,11300,"Anderson, IN","Madison County, IN (18095)"
Metropolitan Area,11340,"Anderson, SC","Anderson County, SC (45007)"
Metropolitan Area,11460,"Ann Arbor, MI","Washtenaw County, MI (26161)"
Metropolitan Area,11500,"Anniston-Oxford, AL","Calhoun County, AL (01015)"
Metropolitan Area,11540,"Appleton, WI","Calumet County, WI (55015); Outagamie County, WI (55087)"
Metropolitan Area,11700,"Asheville, NC","Buncombe County, NC (37021); Haywood County, NC (37087); Henderson County, NC (37089); Madison County, NC (37115)"
Metropolitan Area,12020,"Athens-Clarke County, GA","Clarke County, GA (13059); Madison County, GA (13195); Oconee County, GA (13219); Oglethorpe County, GA (13221)"
Metropolitan Area,12060,"Atlanta-Sandy Springs-Marietta, GA","Barrow County, GA (13013); Bartow County, GA (13015); Butts County, GA (13035); Carroll County, GA (13045); Cherokee County, GA (13057); Clayton County, GA (13063); Cobb County, GA (13067); Coweta County, GA (13077); Dawson County, GA (13085); DeKalb County, GA (13089); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Fulton County, GA (13121); Gwinnett County, GA (13135); Haralson County, GA (13143); Heard County, GA (13149); Henry County, GA (13151); Jasper County, GA (13159); Lamar County, GA (13171); Meriwether County, GA (13199); Newton County, GA (13217); Paulding County, GA (13223); Pickens County, GA (13227); Pike County, GA (13231); Rockdale County, GA (13247); Spalding County, GA (13255); Walton County, GA (13297)"
Metropolitan Area,12100,"Atlantic City-Hammonton, NJ","Atlantic County, NJ (34001)"
Metropolitan Area,12220,"Auburn-Opelika, AL","Lee County, AL (01081)"
Metropolitan Area,12260,"Augusta-Richmond County, GA-SC","Burke County, GA (13033); Columbia County, GA (13073); McDuffie County, GA (13189); Richmond County, GA (13245); Aiken County, SC (45003); Edgefield County, SC (45037)"
Metropolitan Area,12420,"Austin-Round Rock-San Marcos, TX","Bastrop County, TX (48021); Caldwell County, TX (48055); Hays County, TX (48209); Travis County, TX (48453); Williamson County, TX (48491)"
Metropolitan Area,12540,"Bakersfield-Delano, CA","Kern County, CA (06029)"
Metropolitan Area,12580,"Baltimore-Towson, MD","Anne Arundel County, MD (24003); Baltimore County, MD (24005); Carroll County, MD (24013); Harford County, MD (24025); Howard County, MD (24027); Queen Anne's County, MD (24035); Baltimore city, MD (24510)"
Metropolitan Area,12620,"Bangor, ME","Penobscot County, ME (23019)"
Metropolitan Area,12700,"Barnstable Town, MA","Barnstable County, MA (25001)"
Metropolitan Area,12940,"Baton Rouge, LA","Ascension Parish, LA (22005); East Baton Rouge Parish, LA (22033); East Feliciana Parish, LA (22037); Iberville Parish, LA (22047); Livingston Parish, LA (22063); Pointe Coupee Parish, LA (22077); St. Helena Parish, LA (22091); West Baton Rouge Parish, LA (22121); West Feliciana Parish, LA (22125)"
Metropolitan Area,12980,"Battle Creek, MI","Calhoun County, MI (26025)"
Metropolitan Area,13020,"Bay City, MI","Bay County, MI (26017)"
Metropolitan Area,13140,"Beaumont-Port Arthur, TX","Hardin County, TX (48199); Jefferson County, TX (48245); Orange County, TX (48361)"
Metropolitan Area,13380,"Bellingham, WA","Whatcom County, WA (53073)"
Metropolitan Area,13460,"Bend, OR","Deschutes County, OR (41017)"
Metropolitan Area,13740,"Billings, MT","Carbon County, MT (30009); Yellowstone County, MT (30111)"
Metropolitan Area,13780,"Binghamton, NY","Broome County, NY (36007); Tioga County, NY (36107)"
Metropolitan Area,13820,"Birmingham-Hoover, AL","Bibb County, AL (01007); Blount County, AL (01009); Chilton County, AL (01021); Jefferson County, AL (01073); St. Clair County, AL (01115); Shelby County, AL (01117); Walker County, AL (01127)"
Metropolitan Area,13900,"Bismarck, ND","Burleigh County, ND (38015); Morton County, ND (38059)"
Metropolitan Area,13980,"Blacksburg-Christiansburg-Radford, VA","Giles County, VA (51071); Montgomery County, VA (51121); Pulaski County, VA (51155); Radford city, VA (51750)"
Metropolitan Area,14020,"Bloomington, IN","Greene County, IN (18055); Monroe County, IN (18105); Owen County, IN (18119)"
Metropolitan Area,14060,"Bloomington-Normal, IL","McLean County, IL (17113)"
Metropolitan Area,14260,"Boise City-Nampa, ID","Ada County, ID (16001); Boise County, ID (16015); Canyon County, ID (16027); Gem County, ID (16045); Owyhee County, ID (16073)"
Metropolitan Area,14460,"Boston-Cambridge-Quincy, MA-NH","Essex County, MA (25009); Middlesex County, MA (25017); Norfolk County, MA (25021); Plymouth County, MA (25023); Suffolk County, MA (25025); Rockingham County, NH (33015); Strafford County, NH (33017)"
